FACT_ID,ORDER_ID,CUSTOMER_ID,PRODUCT_ID,SALES,QUANTITY,DISCOUNT,PROFIT
US-00022,CA-2016-137330,KB-16585,OFF-AR-10000246,19.46,7,0,5.0596
US-00023,CA-2016-137330,KB-16585,OFF-AP-10001492,60.34,7,0,15.6884
US-00024,US-2017-156909,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196
US-00025,CA-2015-106320,EB-13870,FUR-TA-10000577,1044.63,3,0,240.2649
US-00026,CA-2016-121755,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224
US-00027,CA-2016-121755,EH-13945,TEC-AC-10003027,90.57,3,0,11.7741
US-00028,US-2015-150630,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
US-00029,US-2015-150630,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532
US-00030,US-2015-150630,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525
US-00031,US-2015-150630,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016
US-00032,US-2015-150630,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092
US-00033,US-2015-150630,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715
US-00034,US-2015-150630,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.546
US-00035,CA-2017-107727,MA-17560,OFF-PA-10000249,29.472,3,0.2,9.9468
US-00036,CA-2016-117590,GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737
US-00037,CA-2016-117590,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.963
US-00038,CA-2015-117415,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415
US-00039,CA-2015-117415,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764
US-00040,CA-2015-117415,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.147
US-00041,CA-2015-117415,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564
US-00042,CA-2017-120999,LC-16930,TEC-PH-10004093,147.168,4,0.2,16.5564
US-00043,CA-2016-101343,RA-19885,OFF-ST-10003479,77.88,2,0,3.894
US-00044,CA-2017-139619,ES-14080,OFF-ST-10003282,95.616,2,0.2,9.5616
US-00045,CA-2016-118255,ON-18715,TEC-AC-10000171,45.98,2,0,19.7714
US-00046,CA-2016-118255,ON-18715,OFF-BI-10003291,17.46,2,0,8.2062
US-00047,CA-2014-146703,PO-18865,OFF-ST-10001713,211.96,4,0,8.4784
US-00048,CA-2016-169194,LH-16900,TEC-AC-10002167,45,3,0,4.95
US-00049,CA-2016-169194,LH-16900,TEC-PH-10003988,21.8,2,0,6.104
US-00050,CA-2015-115742,DP-13000,OFF-BI-10004410,38.22,6,0,17.9634
US-00051,CA-2015-115742,DP-13000,OFF-LA-10002762,75.18,6,0,35.3346
US-00052,CA-2015-115742,DP-13000,FUR-FU-10001706,6.16,2,0,2.9568
US-00053,CA-2015-115742,DP-13000,FUR-CH-10003061,89.99,1,0,17.0981
US-00054,CA-2016-105816,JM-15265,OFF-FA-10000304,15.26,7,0,6.2566
US-00055,CA-2016-105816,JM-15265,TEC-PH-10002447,1029.95,5,0,298.6855
US-00056,CA-2016-111682,TB-21055,OFF-ST-10000604,208.56,6,0,52.14
US-00057,CA-2016-111682,TB-21055,OFF-PA-10001569,32.4,5,0,15.552
US-00058,CA-2016-111682,TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098
US-00059,CA-2016-111682,TB-21055,OFF-PA-10000587,14.56,2,0,6.9888
US-00060,CA-2016-111682,TB-21055,TEC-AC-10002167,30,2,0,3.3
US-00061,CA-2016-111682,TB-21055,OFF-BI-10001460,48.48,4,0.2,16.362
US-00062,CA-2016-111682,TB-21055,OFF-AR-10001868,1.68,1,0,0.84
US-00063,CA-2015-135545,KM-16720,TEC-AC-10004633,13.98,2,0,6.1512
US-00064,CA-2015-135545,KM-16720,OFF-BI-10001078,25.824,6,0.2,9.3612
US-00065,CA-2015-135545,KM-16720,OFF-PA-10003892,146.73,3,0,68.9631
US-00066,CA-2015-135545,KM-16720,FUR-FU-10000397,79.76,4,0,22.3328
US-00067,US-2015-164175,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225
US-00068,CA-2014-106376,BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024
US-00069,CA-2014-106376,BS-11590,TEC-PH-10002726,167.968,4,0.2,62.988
US-00070,CA-2016-119823,KD-16270,OFF-PA-10000482,75.88,2,0,35.6636
US-00071,CA-2016-106075,HM-14980,OFF-BI-10004654,4.616,1,0.2,1.731
US-00072,CA-2017-114440,TB-21520,OFF-PA-10004675,19.05,3,0,8.763
US-00073,US-2015-134026,JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912
US-00074,US-2015-134026,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.213
US-00075,US-2015-134026,JE-15745,OFF-ST-10004123,72.784,1,0.2,-18.196
US-00076,US-2017-118038,KB-16600,OFF-BI-10004182,1.248,3,0.8,-1.9344
US-00077,US-2017-118038,KB-16600,FUR-FU-10000260,9.708,3,0.6,-5.8248
US-00078,US-2017-118038,KB-16600,OFF-ST-10000615,27.24,3,0.2,2.724
US-00079,US-2014-147606,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.475
US-00080,CA-2016-127208,SC-20770,OFF-AP-10002118,208.16,1,0,56.2032
US-00081,CA-2016-127208,SC-20770,OFF-BI-10002309,16.74,3,0,8.0352
US-00082,CA-2014-139451,DN-13690,OFF-AR-10002053,14.9,5,0,4.172
US-00083,CA-2014-139451,DN-13690,OFF-ST-10002370,21.39,1,0,6.2031
US-00084,CA-2015-149734,JC-16105,OFF-EN-10000927,200.984,7,0.2,62.8075
US-00085,US-2017-119662,CS-12400,OFF-ST-10003656,230.376,3,0.2,-48.9549
US-00086,CA-2017-140088,PO-18865,FUR-CH-10000863,301.96,2,0,33.2156
US-00087,CA-2017-155558,PG-18895,TEC-AC-10001998,19.99,1,0,6.7966
US-00088,CA-2017-155558,PG-18895,OFF-LA-10000134,6.16,2,0,2.9568
US-00089,CA-2016-159695,GM-14455,OFF-ST-10003442,158.368,7,0.2,13.8572
US-00090,CA-2016-109806,JS-15685,OFF-AR-10004930,20.1,3,0,6.633
US-00091,CA-2016-109806,JS-15685,TEC-PH-10004093,73.584,2,0.2,8.2782
US-00092,CA-2016-109806,JS-15685,OFF-PA-10000304,6.48,1,0,3.1104
US-00093,CA-2015-149587,KB-16315,OFF-PA-10003177,12.96,2,0,6.2208
US-00094,CA-2015-149587,KB-16315,FUR-FU-10003799,53.34,3,0,16.5354
US-00095,CA-2015-149587,KB-16315,OFF-BI-10002852,32.96,2,0,16.1504
US-00096,US-2017-109484,RB-19705,OFF-BI-10004738,5.682,1,0.7,-3.788
US-00097,CA-2017-161018,PN-18775,FUR-FU-10000629,96.53,7,0,40.5426
US-00098,CA-2017-157833,KD-16345,OFF-BI-10001721,51.312,3,0.2,17.9592
US-00099,CA-2016-149223,ER-13855,OFF-AP-10000358,77.88,6,0,22.5852
US-00100,CA-2016-158568,RB-19465,OFF-PA-10003256,64.624,7,0.2,22.6184
US-00101,CA-2016-158568,RB-19465,TEC-AC-10001767,95.976,3,0.2,-10.7973
US-00102,CA-2016-158568,RB-19465,OFF-BI-10002609,1.788,3,0.8,-3.0396
US-00103,CA-2016-129903,GZ-14470,OFF-PA-10004040,23.92,4,0,11.7208
US-00104,US-2015-156867,LC-16870,TEC-AC-10001552,238.896,6,0.2,-26.8758
US-00105,US-2015-156867,LC-16870,FUR-FU-10004006,102.36,3,0.2,-3.8385
US-00106,US-2015-156867,LC-16870,OFF-BI-10002794,36.882,3,0.7,-25.8174
US-00107,CA-2017-119004,JM-15250,TEC-AC-10003499,74.112,8,0.2,17.6016
US-00108,CA-2017-119004,JM-15250,TEC-PH-10002844,27.992,1,0.2,2.0994
US-00109,CA-2017-119004,JM-15250,OFF-AR-10000390,3.304,1,0.2,1.0738
US-00110,CA-2015-129476,PA-19060,TEC-AC-10000844,339.96,5,0.2,67.992
US-00111,CA-2017-146780,CV-12805,FUR-FU-10001934,41.96,2,0,10.9096
US-00112,CA-2016-128867,CL-12565,OFF-AR-10000380,75.96,2,0,22.788
US-00113,CA-2016-128867,CL-12565,OFF-BI-10003981,27.24,6,0,13.3476
US-00114,CA-2014-115259,RC-19960,OFF-FA-10000621,40.096,14,0.2,14.5348
US-00115,CA-2014-115259,RC-19960,OFF-EN-10002600,4.72,2,0.2,1.652
US-00116,CA-2014-115259,RC-19960,OFF-PA-10004965,23.976,3,0.2,7.4925
US-00117,CA-2014-115259,RC-19960,OFF-EN-10002504,130.464,6,0.2,44.0316
US-00118,CA-2015-110457,DK-13090,FUR-TA-10001768,787.53,3,0,165.3813
US-00119,US-2015-136476,GG-14650,OFF-BI-10003650,157.794,1,0.7,-115.7156
US-00120,CA-2016-103730,SC-20725,FUR-FU-10002157,47.04,3,0,18.3456
US-00121,CA-2016-103730,SC-20725,OFF-BI-10003910,30.84,4,0,13.878
US-00122,CA-2016-103730,SC-20725,OFF-ST-10000777,226.56,6,0,63.4368
US-00123,CA-2016-103730,SC-20725,OFF-EN-10002500,115.02,9,0,51.759
US-00124,CA-2016-103730,SC-20725,TEC-PH-10003875,68.04,7,0,19.7316
US-00125,US-2014-152030,AD-10180,FUR-CH-10004063,600.558,3,0.3,-8.5794
US-00126,US-2014-134614,PF-19165,FUR-TA-10004534,617.7,6,0.5,-407.682
US-00127,US-2017-107272,TS-21610,OFF-BI-10003274,2.388,2,0.7,-1.8308
US-00128,US-2017-107272,TS-21610,OFF-ST-10002974,243.992,7,0.2,30.499
US-00129,US-2016-125969,LS-16975,FUR-CH-10001146,81.424,2,0.2,-9.1602
US-00130,US-2016-125969,LS-16975,FUR-FU-10003773,238.56,3,0,26.2416
US-00131,US-2017-164147,DW-13585,TEC-PH-10002293,59.97,5,0.4,-11.994
US-00132,US-2017-164147,DW-13585,OFF-PA-10002377,78.304,2,0.2,29.364
US-00133,US-2017-164147,DW-13585,OFF-FA-10002780,21.456,9,0.2,6.9732
US-00134,CA-2016-145583,LC-16885,OFF-PA-10001804,20.04,3,0,9.6192
US-00135,CA-2016-145583,LC-16885,OFF-PA-10001736,35.44,1,0,16.6568
US-00136,CA-2016-145583,LC-16885,OFF-AR-10001149,11.52,4,0,3.456
US-00137,CA-2016-145583,LC-16885,OFF-FA-10002988,4.02,2,0,1.9698
US-00138,CA-2016-145583,LC-16885,OFF-BI-10004781,76.176,3,0.2,26.6616
US-00139,CA-2016-145583,LC-16885,OFF-SU-10001218,65.88,6,0,18.4464
US-00140,CA-2016-145583,LC-16885,FUR-FU-10001706,43.12,14,0,20.6976
US-00141,CA-2016-110366,JD-15895,FUR-FU-10004848,82.8,2,0.2,10.35
US-00142,CA-2017-106180,SH-19975,OFF-AR-10000940,8.82,3,0,2.3814
US-00143,CA-2017-106180,SH-19975,OFF-EN-10004030,10.86,3,0,5.1042
US-00144,CA-2017-106180,SH-19975,OFF-PA-10004327,143.7,3,0,68.976
US-00145,CA-2017-155376,SG-20080,OFF-AP-10001058,839.43,3,0,218.2518
US-00146,CA-2015-110744,HA-14920,OFF-ST-10003656,671.93,7,0,20.1579
US-00147,CA-2014-110072,MG-17680,FUR-FU-10000521,93.888,4,0.2,12.9096
US-00148,CA-2016-114489,JE-16165,TEC-PH-10000215,384.45,11,0,103.8015
US-00149,CA-2016-114489,JE-16165,TEC-PH-10001448,149.97,3,0,5.9988
US-00150,CA-2016-114489,JE-16165,FUR-CH-10000454,1951.84,8,0,585.552
US-00151,CA-2016-114489,JE-16165,OFF-BI-10002735,171.55,5,0,80.6285
US-00152,CA-2016-158834,TW-21025,OFF-AP-10000326,157.92,5,0.2,17.766
US-00153,CA-2016-158834,TW-21025,TEC-PH-10001254,203.184,2,0.2,15.2388
US-00154,CA-2015-124919,SP-20650,OFF-PA-10001950,58.38,7,0,26.271
US-00155,CA-2015-124919,SP-20650,OFF-PA-10002254,105.52,4,0,48.5392
US-00156,CA-2015-124919,SP-20650,OFF-ST-10001590,80.88,6,0,21.0288
US-00157,CA-2015-118948,NK-18490,OFF-AR-10001547,6.63,3,0,1.7901
US-00158,CA-2014-104269,DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764
US-00159,CA-2016-114104,NP-18670,OFF-LA-10002475,14.62,2,0,6.8714
US-00160,CA-2016-114104,NP-18670,TEC-PH-10004536,944.93,7,0,236.2325
US-00161,CA-2016-162733,TT-21070,OFF-PA-10002751,5.98,1,0,2.691
US-00162,CA-2015-119697,EM-13960,TEC-AC-10003657,54.384,2,0.2,1.3596
US-00163,CA-2016-154508,RD-19900,OFF-EN-10001990,28.4,5,0,13.348
US-00164,CA-2016-113817,MJ-17740,OFF-BI-10004002,27.68,2,0.2,9.688
US-00165,CA-2014-139892,BM-11140,OFF-AR-10004441,9.936,3,0.2,2.7324
US-00166,CA-2014-139892,BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992
US-00167,CA-2014-139892,BM-11140,OFF-ST-10000991,275.928,3,0.2,-58.6347
US-00168,CA-2014-139892,BM-11140,FUR-CH-10004287,1740.06,9,0.3,-24.858
US-00169,CA-2014-139892,BM-11140,OFF-AR-10002656,32.064,6,0.2,6.8136
US-00170,CA-2014-139892,BM-11140,OFF-AP-10002518,177.98,5,0.8,-453.849
US-00171,CA-2014-139892,BM-11140,TEC-PH-10003931,143.976,3,0.2,8.9985
US-00172,CA-2014-118962,CS-12130,OFF-PA-10000659,20.94,3,0,9.8418
US-00173,CA-2014-118962,CS-12130,OFF-PA-10001144,110.96,2,0,53.2608
US-00174,CA-2014-118962,CS-12130,FUR-CH-10003817,340.144,7,0.2,21.259
US-00175,US-2014-100853,JB-15400,OFF-AP-10000891,52.448,2,0.8,-131.12
US-00176,US-2014-100853,JB-15400,OFF-LA-10003148,20.16,4,0.2,6.552
US-00177,US-2017-152366,SJ-20500,OFF-AP-10002684,97.264,4,0.8,-243.16
US-00178,US-2015-101511,JE-15745,FUR-CH-10004698,396.802,7,0.3,-11.3372
US-00179,US-2015-101511,JE-15745,OFF-SU-10002189,15.88,5,0.2,-3.7715
US-00180,CA-2015-137225,JK-15640,OFF-AR-10001940,3.28,1,0,1.4104
US-00181,CA-2014-166191,DK-13150,OFF-ST-10003455,24.816,2,0.2,1.8612
US-00182,CA-2014-166191,DK-13150,TEC-AC-10004659,408.744,7,0.2,76.6395
US-00183,CA-2014-158274,RM-19675,TEC-PH-10003273,503.96,4,0,131.0296
US-00184,CA-2014-158274,RM-19675,TEC-PH-10004896,149.95,5,0,41.986
US-00185,CA-2014-158274,RM-19675,TEC-AC-10002345,29,2,0,7.25
US-00186,CA-2016-105018,SK-19990,OFF-BI-10001890,7.16,2,0,3.4368
US-00187,CA-2014-123260,FM-14290,TEC-AC-10002323,176.8,8,0,22.984
US-00188,CA-2016-157000,AM-10360,OFF-ST-10001328,37.224,3,0.2,3.7224
US-00189,CA-2016-157000,AM-10360,OFF-PA-10001950,20.016,3,0.2,6.255
US-00190,CA-2015-102281,MP-17470,FUR-BO-10002613,899.136,4,0.2,112.392
US-00191,CA-2015-102281,MP-17470,TEC-PH-10001552,71.76,6,0,20.0928
US-00192,CA-2015-102281,MP-17470,OFF-PA-10000061,51.84,8,0,24.8832
US-00193,CA-2015-102281,MP-17470,FUR-BO-10002545,626.352,3,0.2,46.9764
US-00194,CA-2015-102281,MP-17470,OFF-AR-10003514,19.9,5,0,6.567
US-00195,CA-2015-131457,MZ-17515,OFF-EN-10001509,14.28,7,0,6.7116
US-00196,CA-2014-140004,CB-12025,OFF-AR-10004685,7.408,2,0.2,1.2038
US-00197,CA-2014-140004,CB-12025,OFF-AR-10004027,6.048,3,0.2,1.5876
US-00198,CA-2017-107720,VM-21685,OFF-ST-10001414,46.26,3,0,12.0276
US-00199,US-2017-124303,FH-14365,OFF-BI-10000343,2.946,2,0.7,-2.2586
US-00200,US-2017-124303,FH-14365,OFF-PA-10002749,16.056,3,0.2,5.8203
US-00201,CA-2017-105074,MB-17305,OFF-PA-10002666,21.744,3,0.2,6.795
US-00202,CA-2014-133690,BS-11755,FUR-TA-10004289,218.75,2,0.5,-161.875
US-00203,CA-2014-133690,BS-11755,OFF-AP-10003622,2.6,1,0.2,0.2925
US-00204,US-2017-116701,LC-17140,OFF-AP-10003217,66.284,2,0.8,-178.9668
US-00205,CA-2017-126382,HK-14890,FUR-FU-10002960,35.168,7,0.2,9.6712
US-00206,CA-2017-108329,LE-16810,TEC-PH-10001918,444.768,4,0.2,44.4768
US-00207,CA-2017-135860,JH-15985,OFF-ST-10000642,83.92,4,0,5.8744
US-00208,CA-2017-135860,JH-15985,TEC-PH-10001700,131.98,2,0,35.6346
US-00209,CA-2017-135860,JH-15985,OFF-BI-10003274,15.92,4,0,7.4824
US-00210,CA-2017-135860,JH-15985,OFF-FA-10000134,52.29,9,0,16.2099
US-00211,CA-2017-135860,JH-15985,OFF-ST-10001522,91.99,1,0,3.6796
US-00212,CA-2015-101007,MS-17980,TEC-AC-10001266,20.8,2,0.2,6.5
US-00213,CA-2015-146262,VW-21775,OFF-LA-10004544,23.68,2,0.2,8.88
US-00214,CA-2015-146262,VW-21775,FUR-BO-10004695,452.45,5,0.5,-244.323
US-00215,CA-2015-146262,VW-21775,TEC-PH-10002844,62.982,3,0.4,-14.6958
US-00216,CA-2015-146262,VW-21775,TEC-MA-10000864,1188,9,0.7,-950.4
US-00217,CA-2015-146262,VW-21775,TEC-AC-10000109,89.584,2,0.2,4.4792
US-00218,CA-2016-130162,JH-15910,OFF-ST-10001328,93.06,6,0,26.0568
US-00219,CA-2016-130162,JH-15910,TEC-PH-10002563,302.376,3,0.2,22.6782
US-00220,CA-2015-169397,JB-15925,OFF-FA-10000585,5.584,2,0.2,1.8148
US-00221,CA-2015-169397,JB-15925,OFF-PA-10004000,22.704,6,0.2,8.2302
US-00222,CA-2015-169397,JB-15925,OFF-BI-10002852,19.776,4,0.7,-13.8432
US-00223,CA-2015-169397,JB-15925,FUR-FU-10000087,72.704,4,0.2,19.0848
US-00224,CA-2015-169397,JB-15925,TEC-MA-10001148,479.988,4,0.7,-383.9904
US-00225,CA-2015-169397,JB-15925,OFF-AR-10001958,27.168,2,0.2,2.7168
US-00226,CA-2015-163055,DS-13180,OFF-AR-10001026,2.2,1,0,0.968
US-00227,CA-2015-163055,DS-13180,FUR-TA-10003748,622.45,5,0,136.939
US-00228,CA-2015-163055,DS-13180,OFF-ST-10002485,21.98,1,0,0.2198
US-00229,US-2015-145436,VD-21670,FUR-CH-10004860,161.568,2,0.2,-28.2744
US-00230,US-2015-145436,VD-21670,FUR-CH-10004477,389.696,8,0.2,43.8408
US-00231,US-2014-156216,EA-14035,OFF-BI-10001679,18.648,7,0.7,-12.432
US-00232,US-2017-100930,CS-12400,FUR-TA-10001705,233.86,2,0.45,-102.048
US-00233,US-2017-100930,CS-12400,FUR-TA-10003473,620.6145,3,0.45,-248.2458
US-00234,US-2017-100930,CS-12400,OFF-BI-10001679,5.328,2,0.7,-3.552
US-00235,US-2017-100930,CS-12400,FUR-FU-10004017,258.072,3,0.2,0
US-00236,US-2017-100930,CS-12400,TEC-AC-10003832,617.976,3,0.2,-7.7247
US-00237,CA-2017-160514,DB-13120,OFF-PA-10002479,10.56,2,0,4.752
US-00238,CA-2016-157749,KL-16645,OFF-PA-10003349,25.92,5,0.2,9.396
US-00239,CA-2016-157749,KL-16645,FUR-FU-10000576,419.68,5,0.6,-356.728
US-00240,CA-2016-157749,KL-16645,FUR-FU-10004351,11.688,3,0.6,-4.6752
US-00241,CA-2016-157749,KL-16645,TEC-PH-10000011,31.984,2,0.2,11.1944
US-00242,CA-2016-157749,KL-16645,FUR-TA-10002607,177.225,5,0.5,-120.513
US-00243,CA-2016-157749,KL-16645,FUR-FU-10002505,4.044,3,0.6,-2.8308
US-00244,CA-2016-157749,KL-16645,OFF-AR-10004685,7.408,2,0.2,1.2038
US-00245,CA-2014-131926,DW-13480,FUR-CH-10004063,2001.86,7,0,580.5394
US-00246,CA-2014-131926,DW-13480,OFF-ST-10002276,166.72,2,0,41.68
US-00247,CA-2014-131926,DW-13480,OFF-PA-10004082,47.88,6,0,23.94
US-00248,CA-2014-131926,DW-13480,OFF-AP-10002945,1503.25,5,0,496.0725
US-00249,CA-2014-131926,DW-13480,OFF-PA-10000061,25.92,4,0,12.4416
US-00250,CA-2016-154739,LH-17155,FUR-CH-10002965,321.568,2,0.2,28.1372
US-00251,CA-2016-145625,KC-16540,OFF-PA-10004569,7.61,1,0,3.5767
US-00252,CA-2016-145625,KC-16540,TEC-AC-10003832,3347.37,13,0,636.0003
US-00253,CA-2016-146941,DL-13315,OFF-ST-10001228,80.58,6,0,22.5624
US-00254,CA-2016-146941,DL-13315,OFF-EN-10003296,361.92,4,0,162.864
US-00255,US-2015-159982,DR-12880,FUR-FU-10002505,12.132,9,0.6,-8.4924
US-00256,US-2015-159982,DR-12880,OFF-ST-10004804,82.368,2,0.2,-19.5624
US-00257,US-2015-159982,DR-12880,OFF-ST-10001590,53.92,5,0.2,4.044
US-00258,US-2015-159982,DR-12880,TEC-PH-10001580,647.904,6,0.2,56.6916
US-00259,CA-2017-163139,CC-12670,TEC-AC-10000290,20.37,3,0,6.9258
US-00260,CA-2017-163139,CC-12670,OFF-ST-10002790,221.55,3,0,6.6465
US-00261,CA-2017-163139,CC-12670,OFF-BI-10003460,17.52,5,0.2,6.132
US-00262,US-2017-155299,Dl-13600,OFF-AP-10002203,1.624,2,0.8,-4.466
US-00263,US-2014-106992,SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997
US-00264,US-2014-106992,SB-20290,TEC-MA-10003353,2519.958,7,0.4,-251.9958
US-00265,CA-2016-125318,RC-19825,TEC-PH-10001433,328.224,4,0.2,28.7196
US-00266,CA-2015-155040,AH-10210,TEC-AC-10004469,79.9,2,0,35.156
US-00267,CA-2017-136826,CB-12535,OFF-AR-10003602,14.016,3,0.2,4.7304
US-00268,CA-2016-111010,PG-18895,OFF-FA-10003472,7.56,6,0,0.3024
US-00269,US-2017-145366,CA-12310,OFF-ST-10004180,37.208,1,0.2,-7.4416
US-00270,US-2017-145366,CA-12310,OFF-EN-10004386,57.576,3,0.2,21.591
US-00271,CA-2017-163979,KH-16690,OFF-ST-10003208,725.84,4,0,210.4936
US-00272,CA-2015-155334,HA-14920,TEC-AC-10003628,209.93,7,0,92.3692
US-00273,CA-2015-155334,HA-14920,FUR-FU-10003274,5.28,3,0,2.3232
US-00274,CA-2015-155334,HA-14920,OFF-BI-10002557,10.92,3,0.2,4.095
US-00275,CA-2017-118136,BB-10990,OFF-PA-10002615,8.82,2,0,4.0572
US-00276,CA-2017-118136,BB-10990,OFF-AR-10001427,5.98,1,0,1.5548
US-00277,CA-2017-132976,AG-10495,OFF-PA-10000673,11.648,2,0.2,4.0768
US-00278,CA-2017-132976,AG-10495,OFF-PA-10004470,18.176,4,0.2,5.9072
US-00279,CA-2017-132976,AG-10495,OFF-ST-10000876,59.712,6,0.2,5.9712
US-00280,CA-2017-132976,AG-10495,OFF-LA-10002043,24.84,3,0.2,8.694
US-00281,US-2015-161991,SC-20725,OFF-BI-10004967,2.08,5,0.8,-3.432
US-00282,US-2015-161991,SC-20725,TEC-PH-10001760,1114.4,7,0.2,376.11
US-00283,CA-2015-130890,JO-15280,FUR-TA-10002903,1038.84,5,0.2,51.942
US-00284,CA-2015-130883,TB-21520,OFF-PA-10000474,141.76,5,0.2,47.844
US-00285,CA-2015-130883,TB-21520,TEC-AC-10001956,239.8,5,0.2,47.96
US-00286,CA-2015-130883,TB-21520,OFF-PA-10004100,31.104,6,0.2,10.8864
US-00287,CA-2016-112697,AH-10195,OFF-BI-10000778,254.058,7,0.7,-169.372
US-00288,CA-2016-112697,AH-10195,OFF-AP-10002684,194.528,2,0.2,24.316
US-00289,CA-2016-112697,AH-10195,OFF-SU-10000646,961.48,5,0.2,-204.3145
US-00290,CA-2016-110772,NZ-18565,OFF-FA-10002983,19.096,7,0.2,6.6836
US-00291,CA-2016-110772,NZ-18565,OFF-LA-10004689,18.496,8,0.2,6.2424
US-00292,CA-2016-110772,NZ-18565,TEC-AC-10002001,255.984,2,0.2,54.3966
US-00293,CA-2016-110772,NZ-18565,FUR-BO-10004709,86.97,3,0.5,-48.7032
US-00294,CA-2014-111451,KL-16555,FUR-FU-10004091,300.416,8,0.2,78.8592
US-00295,CA-2014-111451,KL-16555,FUR-CH-10001891,230.352,3,0.2,20.1558
US-00296,CA-2014-111451,KL-16555,FUR-FU-10002918,218.352,3,0.2,-24.5646
US-00297,CA-2014-111451,KL-16555,OFF-BI-10004593,78.6,5,0.7,-62.88
US-00298,CA-2014-111451,KL-16555,OFF-FA-10004854,27.552,3,0.2,9.2988
US-00299,CA-2016-142545,JD-15895,OFF-PA-10002105,32.4,5,0,15.552
US-00300,CA-2016-142545,JD-15895,OFF-ST-10002756,1082.48,8,0,10.8248
US-00301,CA-2016-142545,JD-15895,OFF-PA-10004243,56.91,3,0,27.3168
US-00302,CA-2016-142545,JD-15895,FUR-FU-10001861,77.6,4,0,38.024
US-00303,CA-2016-142545,JD-15895,OFF-BI-10002706,14.28,1,0,6.5688
US-00304,US-2017-152380,JH-15910,FUR-TA-10002533,219.075,3,0.5,-131.445
US-00305,CA-2015-144253,AS-10225,FUR-FU-10002671,26.8,2,0,12.864
US-00306,CA-2014-130960,KB-16600,OFF-AR-10003651,9.84,3,0,2.8536
US-00307,CA-2014-111003,CR-12625,OFF-BI-10001072,45.48,3,0,20.9208
US-00308,CA-2014-111003,CR-12625,OFF-AR-10002135,289.2,6,0,83.868
US-00309,CA-2017-126774,SH-20395,OFF-AR-10002804,4.89,1,0,2.0049
